IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,Residual,IMF1-13,IMF1-R
0.3096293,0.015491602,0.111664295,0.18913555,0.21646513,-0.5446866,-0.48744932,-0.58990073,-0.11359261,0.5704054,-0.40821758,-0.30359364,0.5252411,1.9456258,1.436217697,-0.509408103
0.017705427,-0.027056975,0.13686307,0.08729461,0.08367378,-0.5983851,-0.37127233,-0.5870434,-0.116547175,0.5678862,-0.40930736,-0.30359614,0.5255406,1.9456036,0.951358807,-0.994244793
-0.076505125,-0.03125948,0.052864093,-0.043710813,-0.056161765,-0.6367036,-0.25116935,-0.5833524,-0.11931109,0.5653031,-0.41038933,-0.30359662,0.52584046,1.9455813,0.57742938,-1.36815192
-0.0051226,-0.010632661,-0.14683904,-0.12475702,-0.1904577,-0.65692484,-0.12821102,-0.57883126,-0.12188459,0.5626575,-0.41146368,-0.3035952,0.5261407,1.9455593,0.355637889,-1.589921411
0.025734536,-0.007034682,-0.3439154,-0.121590294,-0.3130192,-0.656062,-0.003604724,-0.5734646,-0.124268115,0.55995,-0.41253027,-0.3035918,0.5264412,1.945537,0.198581651,-1.746955349
0.10652527,-0.024480015,-0.25455686,-0.04153235,-0.4194925,-0.63260007,0.114034735,-0.56723136,-0.12646247,0.5571811,-0.4135774,-0.30358642,0.52674216,1.9455148,0.46647862,-1.47903618
-0.12232247,-0.023845151,-0.034851026,0.031990193,-0.50980824,-0.5873789,0.22883123,-0.56011504,-0.12846796,0.5543484,-0.41459107,-0.30357912,0.52704346,1.9454925,0.602746806,-1.342745694
0.14620626,-0.003022158,0.19591327,0.020797975,-0.5713258,-0.5236182,0.34207276,-0.55210733,-0.13028547,0.5514507,-0.4155974,-0.30356982,0.52734506,1.9454705,1.229730347,-0.715740153
-0.15609492,0.0009151,0.33552286,-0.03902788,-0.5925542,-0.44488853,0.4530415,-0.54322326,-0.13191564,0.5484949,-0.4165965,-0.30355856,0.5276471,1.9454483,1.18321027,-0.76223803
0.036339495,-0.002750098,0.05350942,-0.06350355,-0.57781935,-0.35513285,0.5611237,-0.5334967,-0.13335982,0.54548126,-0.41758835,-0.30354536,0.5279494,1.945426,1.282633197,-0.662792803
0.09900962,-0.017198088,-0.17401008,-0.11427069,-0.5214055,-0.25855595,0.6657578,-0.52300525,-0.13461958,0.542411,-0.41857302,-0.3035302,0.5282521,1.9454039,1.315666062,-0.629737838
0.018941417,-0.016438691,-0.30827084,-0.20679344,-0.42246014,-0.16143188,0.7663993,-0.5118175,-0.13569611,0.53928554,-0.41955045,-0.30351305,0.5285551,1.9453818,1.312591056,-0.632790744
-0.07203767,-0.023885658,-0.18445615,-0.1969733,-0.2977718,-0.06753414,0.8624812,-0.49995503,-0.13659072,0.53610504,-0.4205207,-0.30349395,0.52885854,1.9453595,1.669585162,-0.275774338
0.15239854,-0.015956484,-0.07444146,-0.05794087,-0.16823469,0.029464735,0.9534952,-0.48746544,-0.13730487,0.532642,-0.4214881,-0.3034729,0.52916235,1.9453374,2.476195411,0.530858011
-0.19230354,0.004830068,0.1932588,0.072647244,-0.03282124,0.12764062,1.0390197,-0.47440267,-0.13784683,0.52888215,-0.42244866,-0.3034498,0.5294664,1.9453152,2.877787442,0.932472242
0.26376513,0.02060572,0.23403946,0.15998058,0.11321634,0.22326255,1.1186551,-0.46082416,-0.1382157,0.5250511,-0.4234021,-0.30342484,0.5297709,1.945293,3.80777308,1.86248008
