Site,Statistical metrics,R2(%),,,,,,RMSE,,,,,,nRMSE(%),,,,,,MAE,,,,,
,Model/Input component,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6,C1,C2,C3,C4,C5,C6
,BiLSTM,0.873708832,0.8565525,0.859104181,0.874390458,0.853827423,0.869996949,6.827390124,6.977208261,6.886496979,6.685971262,6.923784886,6.657473986,0.104034918,0.106317828,0.104935581,0.101879995,0.105503769,0.101445757,4.247331132,4.69727235,4.516269737,4.241850065,4.607955483,4.210699016
,StackLSTM,0.856859211,0.81603987,0.824296166,0.840429948,0.888365913,0.863178348,6.952639235,7.468076429,7.229454233,6.988507091,6.581354275,6.841016159,0.105943448,0.113797616,0.11016152,0.106489998,0.100285854,0.104242549,4.587289837,5.314131758,4.925351292,4.701419769,3.916905332,4.550229262
,LSTM,0.842980176,0.85587897,0.864375151,0.844259766,0.859030823,0.852564791,7.237783989,6.914629597,6.824625193,6.992177332,6.815260435,6.823783325,0.110288448,0.105364262,0.103992786,0.106545925,0.103850087,0.103979958,5.028825153,4.658057808,4.425098683,4.724483436,4.494263477,4.539963798
,RF,0.868816336,0.859214836,0.863314183,0.869264684,0.870924298,0.873043843,7.094997708,7.239521634,7.079959955,6.950632888,6.895122952,6.836992279,0.108112689,0.110314926,0.107883545,0.105912875,0.105067022,0.104181234,4.979310206,5.1657678,4.926792151,4.770166446,4.68707187,4.684373981
,SVM,0.803248769,0.807072806,0.777810347,0.784109301,0.785626487,0.823434326,7.843313086,7.760613507,8.044114851,7.959125423,7.924249939,7.36633759,0.119515425,0.118255259,0.122575217,0.121280159,0.12074873,0.112247332,5.600331458,5.565002932,5.878068968,5.652242247,5.597626317,5.269812814
,XGB,0.843133181,0.81627282,0.83009716,0.846311051,0.834780259,0.8155744,7.878922423,8.440373279,7.882498628,7.696687529,7.83699751,8.099767638,0.120058035,0.128613353,0.120112529,0.117281163,0.119419189,0.123423247,5.242660605,5.713541745,5.377470644,5.118821619,5.535765023,5.621775011
FI-Let,LightGBM,0.650220464,0.643880379,0.65209555,0.576237923,0.576636855,0.580726766,10.15910939,10.12095772,9.896989209,10.08280417,10.14867445,10.16827718,0.149436557,0.148875361,0.145580871,0.148314137,0.149283063,0.149571412,6.928321133,6.906781591,6.632017704,6.978187615,7.043186141,7.057085374
,BiLSTM,0.648390002,0.640042336,0.647045472,0.588503076,0.633754682,0.644058355,10.0438396,9.900170588,9.917282057,10.14618917,9.783960801,9.763068099,0.147740983,0.145627668,0.145879371,0.149246506,0.143918267,0.143610943,6.811222141,6.748276083,6.606194302,7.032758142,6.717092073,6.755216705
,StackLSTM,0.646840268,0.649705613,0.636723243,0.647754962,0.642402617,0.607119331,10.04005727,9.939898457,9.966719666,9.82211261,9.840035706,9.810076745,0.147685347,0.146212049,0.146606579,0.144479465,0.144743107,0.144302422,6.868139968,6.733225004,6.715664439,6.723862083,6.62191975,6.703804174
,LSTM,0.625319811,0.643009861,0.670907384,0.59792834,0.652890708,0.604072309,10.22579145,9.958761189,9.999749164,9.925345289,9.83960465,9.809183812,0.150417424,0.146489513,0.14709243,0.145997978,0.144736766,0.144289288,7.100350001,6.763353305,6.585680676,6.832949546,6.606748029,6.769837282
,RF,0.65779608,0.653433537,0.65145376,0.626135457,0.630779511,0.624820929,10.43972059,10.43804079,10.40119887,10.4054709,10.40740105,10.41733057,0.153564239,0.15353953,0.152997599,0.153060439,0.153088831,0.153234891,7.34320213,7.217996927,7.16014024,7.313619758,7.276985723,7.290438755
