Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (°C),Baro (mb),Water Level(m)
2022/1/11,0:00,5.7,196,7.9,27.4,1013.9,0.451
2022/1/11,1:00,7.5,196,9.8,26.9,1013.7,0.425
2022/1/11,2:00,6.7,199,9.4,27.1,1014.2,0.395
2022/1/11,3:00,4.4,232,7,26.6,1015,0.423
2022/1/11,4:00,2.2,268,3.9,25.7,1015.8,0.439
2022/1/11,5:00,2,117,3,24.8,1016.7,0.448
2022/1/11,6:00,2.3,166,3.6,24.2,1017.8,0.511
2022/1/11,7:00,3.4,188,4.1,23.9,1018.6,0.521
2022/1/11,8:00,2.6,184,3.7,23.7,1019.2,0.494
2022/1/11,9:00,1.4,211,2.7,23.6,1019.4,0.45
2022/1/11,10:00,0.8,124,1,23.3,1019.5,0.449
2022/1/11,11:00,1.4,257,1.8,22.2,1019.4,0.384
2022/1/11,12:00,1.6,178,1.9,21.7,1018.2,0.253
2022/1/11,13:00,0.7,209,1,20.9,1017.7,0.233
2022/1/11,14:00,1.9,342,2.3,20.6,1018.1,0.165
2022/1/11,15:00,0.4,97,0.7,20.1,1018.6,0.164
2022/1/11,16:00,3.5,358,4,23.1,1019.2,0.148
2022/1/11,17:00,8,13,9.7,23.6,1019.8,0.195
2022/1/11,18:00,5.1,7,6.1,23.8,1020.3,0.25
2022/1/11,19:00,4.6,17,6.2,23.8,1020.6,0.302
2022/1/11,20:00,6.6,40,7.6,23.8,1021.2,0.364
2022/1/11,21:00,5.7,28,7.3,23.9,1020.7,0.458
2022/1/11,22:00,6.2,42,7.3,23.9,1020.1,0.477
2022/1/11,23:00,6.4,40,7.6,23.7,1018.9,0.489
2022/1/12,0:00,6.2,33,7.9,23.7,1018.2,0.487
2022/1/12,1:00,6.9,45,8.5,23.6,1017.8,0.508
2022/1/12,2:00,6.9,41,7.8,23.7,1018,0.49
2022/1/12,3:00,6.1,46,7.6,23.5,1018.4,0.449
2022/1/12,4:00,6.9,72,9,23.1,1019,0.406
2022/1/12,5:00,6.4,55,8.6,23.2,1019.7,0.423
2022/1/12,6:00,5.7,55,8.3,23.2,1020.2,0.426
2022/1/12,7:00,3.7,36,5.8,22.4,1020.6,0.427
2022/1/12,8:00,6,38,7.4,22.8,1020.4,0.375
2022/1/12,9:00,6.8,34,8.7,23,1020.2,0.39
2022/1/12,10:00,5.2,58,7.2,22.9,1019.7,0.389
2022/1/12,11:00,6.1,20,7,22.9,1019.2,0.383
2022/1/12,12:00,6,42,8.4,22.9,1018.3,0.315
2022/1/12,13:00,2.7,66,4.9,21.9,1017.9,0.244
2022/1/12,14:00,1.2,137,2.4,20,1017.6,0.105
2022/1/12,15:00,0.3,131,0.5,19.7,1017.5,0.058
2022/1/12,16:00,0,310,0.1,19.1,1017.7,0.07
2022/1/12,17:00,2.3,106,3.5,20.3,1018.4,0.057
2022/1/12,18:00,1.8,117,3.5,20.7,1019.3,0.082
2022/1/12,19:00,3.4,30,6.2,23.7,1019.8,0.152
2022/1/12,20:00,4.7,4,6.3,24,1020.1,0.247
2022/1/12,21:00,5.7,71,7.6,24.2,1019.3,0.336
2022/1/12,22:00,7.6,69,10.1,24.1,1018.3,0.371
2022/1/12,23:00,7.5,70,9.7,24,1017.9,0.505
2022/1/13,0:00,5.3,75,9.7,24.1,1017.6,0.509
2022/1/13,1:00,4.3,79,7.9,23.9,1017.3,0.526
2022/1/13,2:00,3.4,73,6.2,23.6,1017.4,0.524
2022/1/13,3:00,7,71,8.7,23.3,1017.8,0.486
2022/1/13,4:00,1.8,31,5.1,23.5,1018.4,0.46
2022/1/13,5:00,3,65,5.6,23.6,1018.8,0.442
2022/1/13,6:00,2.8,41,3.5,23.4,1019.3,0.306
2022/1/13,7:00,1.9,25,2.6,23.2,1019.8,0.351
2022/1/13,8:00,2.9,18,4.3,23.1,1019.8,0.353
2022/1/13,9:00,3.5,341,5.2,23.1,1019.4,0.35
2022/1/13,10:00,4.1,336,4.9,22.9,1018.5,0.363
2022/1/13,11:00,5.4,322,6,22.8,1017.7,0.292
2022/1/13,12:00,4.5,5,6.4,22.8,1017.3,0.278
2022/1/13,13:00,5.9,341,6.9,23.1,1017.1,0.252
2022/1/13,14:00,2.5,10,3.2,22.6,1017.3,0.118
2022/1/13,15:00,1.5,333,3.6,22.6,1016.8,0.029
2022/1/13,16:00,0.7,302,2,21.2,1016.6,-0.009
2022/1/13,17:00,0.3,16,1,20.7,1017,-0.036
2022/1/13,18:00,2.3,17,3.2,21.7,1017.3,-0.051
2022/1/13,19:00,4.4,3,5.9,24,1017.8,0.034
2022/1/13,20:00,3.9,345,4.5,23.9,1018,0.204
2022/1/13,21:00,3,9,4,24.4,1017.8,0.292
2022/1/13,22:00,3.4,4,4.3,24.8,1017.2,0.459
2022/1/13,23:00,4,6,4.4,24.9,1016.2,0.518
2022/1/14,0:00,5,39,6.5,25.2,1015.1,0.623
2022/1/14,1:00,6.1,51,7.7,25.1,1014.6,0.672
2022/1/14,2:00,6.4,319,8.3,25.5,1014.5,0.664
2022/1/14,3:00,5,59,7.1,25.3,1014.7,0.571
2022/1/14,4:00,5.5,70,6.3,24.6,1015.3,0.566
2022/1/14,5:00,3.3,72,4.4,23.8,1016.2,0.479
2022/1/14,6:00,2.9,64,3.6,23.6,1016.8,0.412
2022/1/14,7:00,1.2,2,3,23.4,1017.4,0.353
2022/1/14,8:00,2.8,329,5.1,23.5,1017.4,0.354
2022/1/14,9:00,0.8,86,1.8,22.3,1017.5,0.364
2022/1/14,10:00,2.5,82,3.8,22,1017.5,0.378
2022/1/14,11:00,2.5,142,4.3,21.4,1017.5,0.382
2022/1/14,12:00,1.1,342,1.7,21.3,1017,0.359
2022/1/14,13:00,2.9,143,3.4,19.8,1016.6,0.307
2022/1/14,14:00,0.6,94,1.3,19.8,1016.3,0.19
2022/1/14,15:00,0.4,223,0.7,20.4,1016.4,0.162
2022/1/14,16:00,2,145,2.4,19.4,1016.7,0.054
2022/1/14,17:00,0.8,191,1.2,19.1,1017.5,0.007
2022/1/14,18:00,2.5,233,2.9,20.8,1017.9,-0.019
2022/1/14,19:00,1.7,166,2.5,22.2,1018,0.02
2022/1/14,20:00,2,14,2.4,23,1018,0.132
2022/1/14,21:00,1.2,9,1.9,23.6,1017.6,0.261
2022/1/14,22:00,3.1,12,3.4,23.9,1016.8,0.444
2022/1/14,23:00,3.4,10,4.3,24.4,1015.7,0.529
2022/1/15,0:00,4,25,4.3,24.6,1014.8,0.636
2022/1/15,1:00,3.2,22,4.1,25,1014.4,0.721
2022/1/15,2:00,3.1,18,4.9,25.2,1014.4,0.747
2022/1/15,3:00,4.1,41,4.5,24.8,1014.7,0.682
2022/1/15,4:00,1.8,25,3.6,24.5,1015.2,0.624
2022/1/15,5:00,2.3,54,2.7,23.9,1015.4,0.487
2022/1/15,6:00,2.5,298,2.7,22.9,1016.1,0.421
2022/1/15,7:00,2.2,304,3,22.6,1016.4,0.357
2022/1/15,8:00,2.4,290,3.1,22.4,1016.5,0.318
2022/1/15,9:00,1.8,183,2.2,21,1018.4,0.302
2022/1/15,10:00,1.5,180,1.7,20.1,1016.1,0.34
2022/1/15,11:00,1.2,186,2,19.8,1016.3,0.346
2022/1/15,12:00,2.1,179,2.4,19.7,1015.7,0.403
2022/1/15,13:00,1.2,177,1.6,19.5,1015.4,0.323
2022/1/15,14:00,1.6,170,2.3,18.6,1014.6,0.237
